1	Leg press	perna	O Leg Press é um aparelho que tem como objetivo principal auxiliar nos exercícios de perna, focando nos músculos quadrícepe, posicionando os pés no centro da placa à frente com as pernas dobradas, e panturrilha, posicionando apenas as pontas dos pés com a perna levemente semi-flexionada. É importante ter um cuidado especial para não deixar que a linha do joelho ultrapasse a linha do dedão do pé, a não ser que determinado pelo instrutor.	http://www.laimisenergy.com/wp-content/uploads/2011/09/leg-press-11.jpg
2	Rosca Alternada	bíceps	A rosca alternada é um exercício que tem o objetivo de trabalhar o músculo bíceps. Nesse tipo de exercício, o aluno começa com os dois braços esticados em frente ao corpo. Flexiona-se um braço por vez trazendo a mão perto do peitoral e retornando até a posição inicial. É necessário ter um cuidado especial com a contração do abdômen juntamente com atenção com a coluna ereta para evitar lesões.	http://boaforma.abril.com.br/imagens/slide/rosca-alternada-7.jpg
3	Supino reto	peito	O Supino reto é um exercício que tem como objetivo principal trabalhar a musculatura do peitoral, mas também exercita os ombros (deltoide anterior) e também os tríceps. O movimento começa com a retirada da barra de seu apoio e, com movimentos regulares, flexiona-se os braços. Assim que a barra desce até estar bem próxima do peitoral, exerça mais força para volta-la até o ponto inicial. É necessário ter o abdômen sempre contraído durante o movimento para não forçar muito a lombar.	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4V9d7p47HH35V9i4ZlQiqkYNTiipT8S9CMfKolLxIDQEz0HiJ1w
4	Leg press	perna	O Leg Press é um aparelho que tem como objetivo principal auxiliar nos exercícios de perna, focando nos músculos quadrícepe, posicionando os pés no centro da placa à frente com as pernas dobradas, e panturrilha, posicionando apenas as pontas dos pés com a perna levemente semi-flexionada. É importante ter um cuidado especial para não deixar que a linha do joelho ultrapasse a linha do dedão do pé, a não ser que determinado pelo instrutor.	http://www.laimisenergy.com/wp-content/uploads/2011/09/leg-press-11.jpg
5	Rosca Alternada	bíceps	A rosca alternada é um exercício que tem o objetivo de trabalhar o músculo bíceps. Nesse tipo de exercício, o aluno começa com os dois braços esticados em frente ao corpo. Flexiona-se um braço por vez trazendo a mão perto do peitoral e retornando até a posição inicial. É necessário ter um cuidado especial com a contração do abdômen juntamente com atenção com a coluna ereta para evitar lesões.	http://boaforma.abril.com.br/imagens/slide/rosca-alternada-7.jpg
6	Supino reto	peito	O Supino reto é um exercício que tem como objetivo principal trabalhar a musculatura do peitoral, mas também exercita os ombros (deltoide anterior) e também os tríceps. O movimento começa com a retirada da barra de seu apoio e, com movimentos regulares, flexiona-se os braços. Assim que a barra desce até estar bem próxima do peitoral, exerça mais força para volta-la até o ponto inicial. É necessário ter o abdômen sempre contraído durante o movimento para não forçar muito a lombar.	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4V9d7p47HH35V9i4ZlQiqkYNTiipT8S9CMfKolLxIDQEz0HiJ1w
7	Leg press	perna	O Leg Press é um aparelho que tem como objetivo principal auxiliar nos exercícios de perna, focando nos músculos quadrícepe, posicionando os pés no centro da placa à frente com as pernas dobradas, e panturrilha, posicionando apenas as pontas dos pés com a perna levemente semi-flexionada. É importante ter um cuidado especial para não deixar que a linha do joelho ultrapasse a linha do dedão do pé, a não ser que determinado pelo instrutor.	http://www.laimisenergy.com/wp-content/uploads/2011/09/leg-press-11.jpg
8	Rosca Alternada	bíceps	A rosca alternada é um exercício que tem o objetivo de trabalhar o músculo bíceps. Nesse tipo de exercício, o aluno começa com os dois braços esticados em frente ao corpo. Flexiona-se um braço por vez trazendo a mão perto do peitoral e retornando até a posição inicial. É necessário ter um cuidado especial com a contração do abdômen juntamente com atenção com a coluna ereta para evitar lesões.	http://boaforma.abril.com.br/imagens/slide/rosca-alternada-7.jpg
9	Supino reto	peito	O Supino reto é um exercício que tem como objetivo principal trabalhar a musculatura do peitoral, mas também exercita os ombros (deltoide anterior) e também os tríceps. O movimento começa com a retirada da barra de seu apoio e, com movimentos regulares, flexiona-se os braços. Assim que a barra desce até estar bem próxima do peitoral, exerça mais força para volta-la até o ponto inicial. É necessário ter o abdômen sempre contraído durante o movimento para não forçar muito a lombar.	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4V9d7p47HH35V9i4ZlQiqkYNTiipT8S9CMfKolLxIDQEz0HiJ1w
10	Leg press	perna	O Leg Press é um aparelho que tem como objetivo principal auxiliar nos exercícios de perna, focando nos músculos quadrícepe, posicionando os pés no centro da placa à frente com as pernas dobradas, e panturrilha, posicionando apenas as pontas dos pés com a perna levemente semi-flexionada. É importante ter um cuidado especial para não deixar que a linha do joelho ultrapasse a linha do dedão do pé, a não ser que determinado pelo instrutor.	http://www.laimisenergy.com/wp-content/uploads/2011/09/leg-press-11.jpg
11	Rosca Alternada	bíceps	A rosca alternada é um exercício que tem o objetivo de trabalhar o músculo bíceps. Nesse tipo de exercício, o aluno começa com os dois braços esticados em frente ao corpo. Flexiona-se um braço por vez trazendo a mão perto do peitoral e retornando até a posição inicial. É necessário ter um cuidado especial com a contração do abdômen juntamente com atenção com a coluna ereta para evitar lesões.	http://boaforma.abril.com.br/imagens/slide/rosca-alternada-7.jpg
12	Supino reto	peito	O Supino reto é um exercício que tem como objetivo principal trabalhar a musculatura do peitoral, mas também exercita os ombros (deltoide anterior) e também os tríceps. O movimento começa com a retirada da barra de seu apoio e, com movimentos regulares, flexiona-se os braços. Assim que a barra desce até estar bem próxima do peitoral, exerça mais força para volta-la até o ponto inicial. É necessário ter o abdômen sempre contraído durante o movimento para não forçar muito a lombar.	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4V9d7p47HH35V9i4ZlQiqkYNTiipT8S9CMfKolLxIDQEz0HiJ1w
13	Leg press	perna	O Leg Press é um aparelho que tem como objetivo principal auxiliar nos exercícios de perna, focando nos músculos quadrícepe, posicionando os pés no centro da placa à frente com as pernas dobradas, e panturrilha, posicionando apenas as pontas dos pés com a perna levemente semi-flexionada. É importante ter um cuidado especial para não deixar que a linha do joelho ultrapasse a linha do dedão do pé, a não ser que determinado pelo instrutor.	http://www.laimisenergy.com/wp-content/uploads/2011/09/leg-press-11.jpg
14	Rosca Alternada	bíceps	A rosca alternada é um exercício que tem o objetivo de trabalhar o músculo bíceps. Nesse tipo de exercício, o aluno começa com os dois braços esticados em frente ao corpo. Flexiona-se um braço por vez trazendo a mão perto do peitoral e retornando até a posição inicial. É necessário ter um cuidado especial com a contração do abdômen juntamente com atenção com a coluna ereta para evitar lesões.	http://boaforma.abril.com.br/imagens/slide/rosca-alternada-7.jpg
15	Supino reto	peito	O Supino reto é um exercício que tem como objetivo principal trabalhar a musculatura do peitoral, mas também exercita os ombros (deltoide anterior) e também os tríceps. O movimento começa com a retirada da barra de seu apoio e, com movimentos regulares, flexiona-se os braços. Assim que a barra desce até estar bem próxima do peitoral, exerça mais força para volta-la até o ponto inicial. É necessário ter o abdômen sempre contraído durante o movimento para não forçar muito a lombar.	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4V9d7p47HH35V9i4ZlQiqkYNTiipT8S9CMfKolLxIDQEz0HiJ1w